vendor_key,incumbent_vendor,incumbent_uei,number_of_cyber_it_awards,total_obligated_amount,expiring_value_6_months,expiring_value_12_months,expiring_value_24_months,average_contract_value,recompete_candidate_count,incumbent_concentration_score,incumbent_vulnerability_score,vulnerability_basis,pct_value_expired,pct_value_unknown_expiration,size_standard_shift,size_standard_basis,active_recompete_candidate_count,active_value
52,PARSONS GOVERNMENT SERVICES INC,NMBCAG1JBKL7,34,610627807.6400001,0.0,0.0,0.0,17959641.4,34,0.26,,no_forward_book,100.0,0.0,False,"no S->O transition across 158 readable determinations — per-procurement, directional",0,0.0
53,THE BOEING COMPANY,WZWRLY4G3PL8,56,610201808.87,3740338.62,5716340.62,5716340.62,10896460.87,56,0.26,65.4,value_weighted_near_term_share,77.8,0.0,False,"no S->O transition across 114 readable determinations — per-procurement, directional",2,5716340.62
54,FOUR LLC,X1JJYEW4HAN9,268,596451030.35,0.0,5363319.550000001,7365988.610000001,2225563.55,268,0.26,0.0,value_weighted_near_term_share,89.9,0.0,False,"no S->O transition across 846 readable determinations — per-procurement, directional",4,10052938.610000001
55,GENERAL DYNAMICS ONE SOURCE LLC,D93YKLC3MK67,18,591366993.4799999,0.0,0.0,0.0,32853721.86,18,0.25,,no_forward_book,100.0,0.0,False,"no S->O transition across 53 readable determinations — per-procurement, directional",0,0.0
56,BLUE TECH INC,MDC5LDZKQAM4,342,573091708.1500001,551376.0,551376.0,1904539.72,1675706.75,342,0.25,29.0,value_weighted_near_term_share,97.7,0.0,False,"no S->O transition across 1327 readable determinations — per-procurement, directional",2,1904539.72
57,BY LIGHT PROFESSIONAL IT SERVICES LLC,W5LZQEWN4EA7,37,565650357.22,0.0,0.0,0.0,15287847.49,37,0.24,,no_forward_book,100.0,0.0,False,"no S->O transition across 6 readable determinations — per-procurement, directional",0,0.0
58,FAIRWINDS TECHNOLOGIES LLC,R3G6PWHQRAY5,85,562008379.49,0.0,0.0,0.0,6611863.29,85,0.24,,no_forward_book,100.0,0.0,False,"no S->O transition across 156 readable determinations — per-procurement, directional",0,0.0
59,"ORACLE AMERICA, INC",FKUCYGRK1EQ3,39,539228154.2900001,0.0,1837650.0,41532442.32,13826362.93,39,0.23,0.0,value_weighted_near_term_share,2.8,0.0,False,"no S->O transition across 53 readable determinations — per-procurement, directional",5,79146881.15
60,"VAE, INC",LB8JT7MNMYB5,168,537389276.0,2104857.44,2381878.11,2381878.11,3198745.69,168,0.23,88.4,value_weighted_near_term_share,97.0,0.0,False,"no S->O transition across 629 readable determinations — per-procurement, directional",2,2381878.11
62,"KBR WYLE SERVICES, LLC",VM45UTL9JTH1,38,516253287.4,0.0,0.0,0.0,13585612.83,38,0.22,0.0,value_weighted_near_term_share,94.2,0.0,True,"latest of 12 NAICS 541330 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 11 total), with 1 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",1,2002110.0
63,"RESOURCE MANAGEMENT CONCEPTS, INC",HL37EAQNDKV5,15,504088000.67,0.0,0.0,0.0,33605866.71,15,0.22,0.0,value_weighted_near_term_share,71.0,0.0,True,"latest of 39 NAICS 541330 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 17 total), with 22 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",3,45474692.83
64,"MYTHICS, LLC",U2W4ZCG9WJA7,23,502309344.29,0.0,0.0,0.0,21839536.71,23,0.22,,no_forward_book,100.0,0.0,False,"no S->O transition across 53 readable determinations — per-procurement, directional",0,0.0
65,"CREATIVE IT SOLUTIONS, LLC",DSHBDPKJC569,30,493922234.06999993,0.0,17460908.11,49911439.86,16464074.47,30,0.21,0.0,value_weighted_near_term_share,8.9,0.0,False,"no S->O transition across 40 readable determinations — per-procurement, directional",2,49911439.86
66,"22ND CENTURY TECHNOLOGIES, INC",QT2VZ9L1VPQ1,53,492529119.5200001,0.0,0.0,0.0,9293002.26,53,0.21,0.0,value_weighted_near_term_share,95.1,0.0,True,"latest of 9 NAICS 541330 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 4 total), with 5 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",1,2664225.36
67,"AMENTUM SERVICES, INC",QEMLRQA7PLG4,46,475360775.8,0.0,0.0,0.0,10333929.91,46,0.2,,no_forward_book,100.0,0.0,False,"no S->O transition across 517 readable determinations — per-procurement, directional",0,0.0
68,"SMARTRONIX, LLC",CMBKC2MHJFK5,36,463962920.9,0.0,0.0,0.0,12887858.91,36,0.2,,no_forward_book,100.0,0.0,True,"latest of 7 NAICS 518210 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 6 total), with 1 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",0,0.0
69,"GARTNER, INC",CFALLJBGZ697,363,457371211.31000006,4130094.0,4130094.0,5103979.5,1259975.79,363,0.2,71.8,value_weighted_near_term_share,88.6,0.0,False,"no S->O transition across 699 readable determinations — per-procurement, directional",4,5751177.5
70,ARMA GLOBAL CORPORATION,XVC1Z1EWWKW4,10,451431768.24,0.0,0.0,0.0,45143176.82,10,0.19,,no_forward_book,100.0,0.0,False,"no S->O transition across 11 readable determinations — per-procurement, directional",0,0.0
71,"M. C. DEAN, INC",RD55NEXJ5EW4,110,442501907.97,0.0,0.0,0.0,4022744.62,110,0.19,0.0,value_weighted_near_term_share,43.4,0.0,True,"latest of 105 NAICS 541512 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 104 total), with 1 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",2,30370227.35
72,"L3 TECHNOLOGIES, INC",UMA3J1BW1Z99,71,441143675.39,45653379.0,45653379.0,45653379.0,6213291.2,71,0.19,100.0,value_weighted_near_term_share,50.3,0.0,False,"no S->O transition across 81 readable determinations — per-procurement, directional",3,45653379.0
73,"CACI TECHNOLOGIES, LLC",NGEEG7KP11V4,16,436548187.68,0.0,0.0,0.0,27284261.73,16,0.19,,no_forward_book,100.0,0.0,False,"no S->O transition across 153 readable determinations — per-procurement, directional",0,0.0
74,"PHOENIX LOGISTICS, LLC",EELNFQLNS977,17,433519176.6000001,0.0,0.0,0.0,25501128.04,17,0.19,,no_forward_book,100.0,0.0,False,"no S->O transition across 20 readable determinations — per-procurement, directional",0,0.0
75,AMERICAN SYSTEMS CORPORATION,CFWRL5LXXX93,25,431408011.55,1298878.91,1298878.91,1298878.91,17256320.46,25,0.19,4.3,value_weighted_near_term_share,5.2,0.0,False,"no S->O transition across 187 readable determinations — per-procurement, directional",2,30411463.29
76,SCIENCE APPLICATIONS INTERNATIONAL CORP,L7EUZR8R5RZ3,25,416063894.25,4831156.94,4831156.94,4831156.94,16642555.77,25,0.18,100.0,value_weighted_near_term_share,78.8,0.0,False,"no S->O transition across 58 readable determinations — per-procurement, directional",2,4831156.94
77,"AUGUST SCHELL ENTERPRISES, INC",PPMBFPRXNAJ9,172,415449136.31,0.0,0.0,0.0,2415401.96,172,0.18,0.0,value_weighted_near_term_share,98.0,0.0,False,"no S->O transition across 495 readable determinations — per-procurement, directional",1,647330.72
79,ENLIGHTEN IT CONSULTING LLC,R1V7DQ3VKQP5,18,407464288.9100001,92890083.31,92890083.31,101023007.13,22636904.94,18,0.18,81.8,value_weighted_near_term_share,45.7,0.0,True,"latest of 13 NAICS 541511 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 10 total), with 3 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",3,113554860.2
80,DIGITAL MANAGEMENT LLC,EMACGJ3EEAT5,31,401046876.56,0.0,0.0,0.0,12936996.02,31,0.17,,no_forward_book,100.0,0.0,True,"latest of 19 NAICS 541512 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 18 total), with 1 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",0,0.0
81,SCIENTIFIC RESEARCH CORPORATION,FAK7LNGRNAN5,28,396685279.42,0.0,0.0,12693285.94,14167331.41,28,0.17,0.0,value_weighted_near_term_share,46.1,0.0,False,"no S->O transition across 533 readable determinations — per-procurement, directional",2,48801450.449999996
82,"FOUR POINTS TECHNOLOGY, L.L.C",H1KHJPJH9R51,84,393575722.93000007,0.0,0.0,0.0,4685425.27,84,0.17,,no_forward_book,100.0,0.0,False,"no S->O transition across 178 readable determinations — per-procurement, directional",0,0.0
84,TYTO GOVERNMENT SOLUTIONS INC,XJ4CPJNZGG97,25,372459093.75,0.0,0.0,0.0,14898363.75,25,0.16,0.0,value_weighted_near_term_share,21.5,0.0,False,"no S->O transition across 54 readable determinations — per-procurement, directional",1,37775273.99
85,"GOVSMART, INC",DJACUETFQUL8,295,370661419.07,0.0,0.0,1433706.6,1256479.39,295,0.16,0.0,value_weighted_near_term_share,93.2,0.0,False,"no S->O transition across 1402 readable determinations — per-procurement, directional",2,2359537.72
86,"COLE ENGINEERING SERVICES, INC",KPTFNV8G23L1,27,368621914.39,0.0,0.0,29502183.93,13652663.5,27,0.16,0.0,value_weighted_near_term_share,24.0,0.0,False,"no S->O transition across 44 readable determinations — per-procurement, directional",1,29502183.93
87,"AGILE DECISION SCIENCES, LLC",C6EMRJ67V4M3,25,353793312.52000004,8979147.77,63475403.769999996,63475403.769999996,14151732.5,25,0.15,14.1,value_weighted_near_term_share,5.5,0.0,False,"no S->O transition across 33 readable determinations — per-procurement, directional",2,63475403.769999996
88,CREDENCE MANAGEMENT SOLUTIONS LIMITED LIABILITY COMPANY,FZNCSKF4X6D9,51,345320603.61,18517929.6,18517929.6,18517929.6,6770992.23,51,0.15,100.0,value_weighted_near_term_share,43.9,0.0,True,"latest of 50 NAICS 541330 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 5 total), with 45 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",2,18517929.6
90,"IGOV TECHNOLOGIES, INC",JKJ7JTLJJHR6,55,342181807.27000004,1464115.0,1464115.0,1464115.0,6221487.4,55,0.15,100.0,value_weighted_near_term_share,96.0,0.0,False,"no S->O transition across 149 readable determinations — per-procurement, directional",1,1464115.0
91,ARTEL LLC,E93LMZUWUN91,6,334787397.24,0.0,0.0,0.0,55797899.54,6,0.14,,no_forward_book,100.0,0.0,False,"no S->O transition across 7 readable determinations — per-procurement, directional",0,0.0
92,NORSEMAN INC,G8LCAVK5AVW7,184,334235316.71,1184559.0,10355256.91,11027514.91,1816496.29,184,0.14,10.4,value_weighted_near_term_share,69.9,0.0,False,"no S->O transition across 524 readable determinations — per-procurement, directional",6,11337781.48
93,STERLING COMPUTERS CORPORATION,YZTLALWM4UC7,265,327385334.32,0.0,0.0,0.0,1235416.36,265,0.14,,no_forward_book,100.0,0.0,False,"no S->O transition across 1551 readable determinations — per-procurement, directional",0,0.0
94,"SENTAR, INC",J7NJG4KDP7U3,15,325826324.87,0.0,0.0,0.0,21721754.99,15,0.14,0.0,value_weighted_near_term_share,54.8,0.0,True,"latest of 31 NAICS 541330 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 3 total), with 28 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",1,9531511.39
95,SPECTRUM SOLUTIONS INC,N9HABLYNBFQ5,100,325531707.09,5072675.0,16771230.0,16771230.0,3255317.07,100,0.14,26.0,value_weighted_near_term_share,62.9,0.0,False,"no S->O transition across 127 readable determinations — per-procurement, directional",3,19491507.62
96,"SEGUE TECHNOLOGIES, INC",TQ4NYKMS5WW6,35,324877442.45,0.0,0.0,0.0,9282212.64,35,0.14,,no_forward_book,100.0,0.0,True,"latest of 33 NAICS 541511 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 7 total), with 26 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",0,0.0
97,CAELUM RESEARCH CORPORATION,WEHJBK4MXSN8,32,321917512.23,1356373.2,1356373.2,7229729.92,10059922.26,32,0.14,18.8,value_weighted_near_term_share,90.0,0.0,True,"latest of 16 NAICS 541519 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 12 total), with 4 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",2,7229729.92
98,DDC IT SERVICES LLC,LKCXFSNY42Q3,25,320623185.78,0.0,0.0,0.0,12824927.43,25,0.14,,no_forward_book,100.0,0.0,False,"no S->O transition across 33 readable determinations — per-procurement, directional",0,0.0
